Category(0:button set 1:button pressed),time,gazeX,gazeY,gyroX,gyroY,gyroZ,accelX,accelY,accelZ
1,1594622959452,165,212,0.22475259006023407,-0.07610953599214554,0.18988929688930511,0.5482889413833618,9.138946533203125,4.008016109466553
0,1594622960484,719,1292,0.05798638239502907,-0.09260290116071701,-0.023302678018808365,-0.016759924590587616,9.119792938232422,3.4573328495025635
1,1594622962579,719,1292,0.13862058520317078,0.4370172619819641,0.10070296376943588,-0.9194015264511108,9.529213905334473,2.76059889793396
0,1594622963593,719,932,-0.0800691619515419,0.2409295290708542,0.17767198383808136,-0.112530916929245,8.286584854125977,4.549122333526611
1,1594622964120,719,932,-0.03669773042201996,1.360034704208374,0.5735126733779907,-1.1540404558181763,8.312922477722168,5.636122703552246
0,1594622965130,442,2372,0.004841106943786144,0.05278303101658821,-0.017194023355841637,0.1245022863149643,8.63136100769043,4.697566986083984
1,1594622965634,442,2372,0.022556200623512268,0.4974929094314575,0.05794240161776543,0.11971373856067657,8.049551963806152,5.988081455230713
0,1594622966670,996,2372,0.02805398590862751,-0.022353392094373703,-0.012917967513203621,0.22745610773563385,8.360807418823242,5.363175392150879
1,1594622967141,996,2372,-0.3274695873260498,-0.5788516402244568,-0.07889141142368317,0.1891477108001709,7.719141960144043,4.130124092102051
0,1594622968150,442,1652,0.05065600201487541,0.04667438194155693,-0.026357002556324005,0.42857518792152405,8.090254783630371,5.564294815063477
1,1594622968595,442,1652,0.06470590084791183,1.1865489482879639,0.6462056040763855,0.2609759569168091,8.439818382263184,5.185999393463135
0,1594622969605,442,932,0.05187772959470749,-0.02357512339949608,0.002964528976008296,0.026337023824453354,8.58108139038086,4.970514297485352
1,1594622970094,442,932,0.40251436829566956,1.6483629941940308,0.49287843704223633,-3.251425266265869,9.572310447692871,4.647287368774414
0,1594622971117,996,932,-0.07945829629898071,0.011244196444749832,-0.00742018036544323,-0.19872480630874634,8.724737167358398,4.472505569458008
1,1594622971550,996,932,0.10380128026008606,0.37959593534469604,0.2057717889547348,-1.1995316743850708,9.821314811706543,4.077449798583984
0,1594622972558,996,932,0.003008511383086443,-0.005860030185431242,-0.03063305839896202,-0.05027977004647255,8.94261646270752,4.003227710723877
1,1594622973291,996,932,0.27728700637817383,0.5756836533546448,0.37375974655151367,-0.5674431324005127,9.356825828552246,4.40067720413208
0,1594622974301,719,212,-0.06540839374065399,0.030181018635630608,-0.024524405598640442,0.05506832152605057,9.038387298583984,4.096604347229004
1,1594622974879,719,212,-0.7636274099349976,0.5665206909179688,0.37986838817596436,0.1484450399875641,9.5220308303833,2.698347806930542
0,1594622975893,996,1292,-0.34518468379974365,-0.05534011498093605,-0.21511436998844147,0.1245022863149643,9.210775375366211,3.8308396339416504
1,1594622976427,996,1292,-1.777052879333496,-0.8971124291419983,-0.11981938034296036,-0.0023942748084664345,9.055147171020508,6.002447128295898
0,1594622977436,442,2372,-0.02142609842121601,0.0735524520277977,0.07015970349311829,0.2130904644727707,8.808537483215332,4.199557781219482
1,1594622977976,442,2372,-0.4838510751724243,0.5518599152565002,0.031064331531524658,-0.06464541703462601,8.849239349365234,4.6951727867126465
0,1594622978984,442,932,0.3640298843383789,-0.11703750491142273,0.15629170835018158,0.9768640995025635,8.830085754394531,5.791750907897949
1,1594622979489,442,932,0.43733370304107666,1.3771389722824097,1.0457115173339844,-1.4030450582504272,8.650514602661133,6.476513385772705
0,1594622980499,1273,212,-0.020815232768654823,-0.07000087946653366,0.004797124769538641,0.16281068325042725,7.843644142150879,6.189200401306152
1,1594622981061,1273,212,1.1496025323867798,1.3911888599395752,0.8270217180252075,0.30407288670539856,8.796566009521484,3.931399345397949
0,1594622982070,165,1292,-0.06174320727586746,-0.08893770724534988,0.22715206444263458,1.4485362768173218,8.241093635559082,6.196382999420166
1,1594622982575,165,1292,0.18871155381202698,-0.0681682825088501,-0.018415754660964012,-0.3184385597705841,7.570696830749512,5.923435688018799
0,1594622983583,165,932,-0.015317445620894432,-0.06389223039150238,-0.03429825231432915,0.8643332123756409,7.745479106903076,6.0623040199279785
1,1594622984066,165,932,0.17649424076080322,1.6868475675582886,0.1801154464483261,0.2370332032442093,8.30095100402832,6.225114345550537
0,1594622985076,442,1652,0.055542923510074615,0.15724100172519684,0.017014428973197937,0.6847625970840454,7.041562080383301,6.658478260040283
1,1594622985545,442,1652,-0.045860711485147476,0.0051355441100895405,-0.06300891935825348,1.0103839635849,7.652102470397949,7.673650741577148
