Category(0:button set 1:button pressed),time,gazeX,gazeY,gyroX,gyroY,gyroZ,accelX,accelY,accelZ
1,1594797841392,165,212,-0.31668657064437866,0.1929081827402115,-0.08498723804950714,1.0893950462341309,8.672063827514648,5.324867248535156
0,1594797842404,165,572,0.04616736248135567,0.08722849935293198,0.013972931541502476,0.1891477108001709,8.786988258361816,4.381523132324219
1,1594797843181,165,572,-0.3447864055633545,0.22528403997421265,-0.03245282918214798,0.9289786219596863,8.897125244140625,5.808510780334473
0,1594797844189,1273,2372,0.04311303794384003,-0.07281818985939026,-0.031231096014380455,-0.05267404764890671,8.605023384094238,4.8843207359313965
1,1594797844755,1273,2372,-1.204884648323059,-1.3366984128952026,-0.12958039343357086,0.4716721475124359,7.570696830749512,5.798933506011963
0,1594797845765,996,932,-0.08455780148506165,-0.09786366671323776,-0.07154820114374161,0.3208328187465668,8.44221305847168,4.805309772491455
1,1594797846350,996,932,0.13168849050998688,1.114703893661499,-0.0770459920167923,-0.4429408311843872,9.378374099731445,5.514014720916748
0,1594797847359,442,2372,0.0076828524470329285,0.12693475186824799,0.041461870074272156,-0.26337021589279175,8.425453186035156,5.104593753814697
1,1594797847910,442,2372,-0.15541817247867584,0.8715794682502747,0.10132665932178497,-0.4261809289455414,9.076695442199707,5.52119779586792
0,1594797848920,442,212,0.012569773942232132,-0.050216179341077805,-0.052000515162944794,0.1484450399875641,8.490097999572754,5.34162712097168
1,1594797849522,442,212,0.17200559377670288,0.017589865252375603,-7.696902321185917E-5,1.1899546384811401,8.786988258361816,4.972908973693848
0,1594797850533,996,1652,-0.005145317874848843,-0.010509936138987541,0.009086010046303272,0.28013014793395996,8.624177932739258,5.248250484466553
1,1594797850994,996,1652,-0.026525601744651794,0.18924298882484436,0.013362065888941288,0.1005595400929451,7.970541000366211,5.353598594665527
0,1594797852004,996,1292,-0.08089260756969452,0.04752226173877716,-0.015959465876221657,-0.016759924590587616,8.166871070861816,5.7510480880737305
1,1594797852424,996,1292,-0.06012319028377533,0.3297420144081116,-0.02695504017174244,-0.8308133482933044,8.075888633728027,6.299336910247803
0,1594797853433,996,932,0.034560926258563995,-0.014785993844270706,0.01763812266290188,-0.05506832152605057,8.138139724731445,5.4421868324279785
1,1594797853938,996,932,0.37664544582366943,1.1366949081420898,0.06650733947753906,-1.1636176109313965,8.6600923538208,6.2155375480651855
0,1594797854950,996,1652,0.035171788185834885,0.06706994771957397,0.04024013876914978,-0.06225114315748215,8.482915878295898,5.118959426879883
